964,7%,38%,4%,20%,15%,16%,2.84%,3.84%,0.7405
965,11%,20%,21%,19%,12%,17%,3.85%,6.27%,0.6131
966,23%,2%,22%,28%,21%,4%,4.78%,8.24%,0.5798
967,2%,5%,47%,8%,27%,11%,5.26%,10.15%,0.5179
968,29%,42%,21%,2%,4%,2%,4.13%,8.30%,0.4974
969,2%,0%,62%,12%,16%,8%,5.72%,13.10%,0.4365
970,19%,4%,5%,39%,1%,32%,3.22%,5.74%,0.5602
971,23%,14%,22%,2%,7%,32%,4.17%,7.04%,0.5921
972,5%,78%,1%,2%,6%,8%,2.05%,4.24%,0.4835
973,18%,72%,3%,5%,2%,0%,2.60%,5.63%,0.4605
974,32%,5%,2%,23%,20%,18%,4.07%,6.78%,0.5999
975,43%,8%,26%,16%,7%,0%,5.27%,11.09%,0.4753
976,22%,18%,1%,26%,33%,0%,3.96%,5.89%,0.6725
977,5%,35%,43%,0%,13%,4%,4.57%,8.82%,0.5177
978,20%,34%,7%,1%,30%,8%,3.89%,5.93%,0.6554
979,24%,1%,40%,5%,12%,18%,5.34%,10.08%,0.5298
980,5%,1%,21%,38%,3%,32%,3.53%,7.69%,0.4582
981,26%,25%,1%,12%,23%,13%,3.72%,5.98%,0.6209
982,14%,16%,30%,17%,12%,11%,4.43%,7.94%,0.5571
983,46%,10%,19%,15%,6%,4%,5.00%,10.79%,0.4628
984,67%,13%,3%,8%,9%,0%,5.08%,14.01%,0.3621
985,29%,18%,29%,22%,1%,1%,4.66%,9.61%,0.4848
986,14%,41%,13%,3%,1%,28%,3.05%,4.83%,0.6317
987,30%,9%,46%,9%,5%,1%,5.65%,11.97%,0.4721
988,23%,21%,17%,36%,2%,1%,3.91%,7.81%,0.4998
989,8%,52%,11%,24%,2%,3%,2.79%,5.22%,0.5350
990,17%,0%,3%,78%,1%,1%,3.25%,9.47%,0.3434
991,61%,11%,0%,5%,16%,7%,4.89%,12.81%,0.3817
992,32%,33%,17%,14%,3%,1%,4.13%,8.29%,0.4974
993,6%,10%,11%,66%,7%,0%,3.28%,9.31%,0.3522
994,57%,0%,18%,0%,19%,6%,5.75%,13.05%,0.4405
995,33%,2%,39%,20%,1%,5%,5.39%,11.59%,0.4651
996,16%,11%,24%,12%,34%,3%,4.87%,7.46%,0.6517
997,16%,5%,26%,15%,2%,36%,4.05%,7.15%,0.5665
998,10%,18%,32%,2%,13%,25%,4.31%,7.13%,0.6042
999,5%,4%,46%,36%,6%,3%,4.84%,12.03%,0.4022
1000,3%,19%,28%,20%,2%,28%,3.59%,7.17%,0.5003
